ZIP CODE,BeautyCount,BeautyPer1000,RetailPer1000,MedianIncome,YoungShare,SingleShare,OpportunityScore,RidesPer1000
60646,20,1.7491691446562883,11.457057897498688,112525,0.28896274269721883,0.32936854993877906,36.88383547073819,97.13916192838704
60638,46,2.2300867794638095,14.737964803413002,91070,0.32171425801134435,0.32709555437048526,34.77637913458187,0.0
60660,32,1.4689680499449136,12.164891663606316,67479,0.42021667278736685,0.6706757253029747,34.36153487028766,376.1152392716844
60631,38,3.089430894308943,11.300813008130081,115000,0.2945528455284553,0.36869918699186993,33.69726740415504,105.35416886636399
60626,36,1.4787430683918668,12.158554117888684,59713,0.43269665228999793,0.6469911686177859,33.02880664690224,316.13229380327346
60615,29,1.2761276127612762,9.54895489548955,63876,0.42684268426842686,0.6362156215621562,32.65408879260106,49.46944218231347
60656,20,1.6093988895147662,6.437595558059065,95766,0.35672326386094794,0.3811861269815724,32.57722923009109,1074.5366969073414
60634,89,3.2503104229055584,15.557665619750201,88533,0.30213278796289533,0.3150244686290264,31.937471760462838,0.0
60612,62,4.027804846358734,23.51718313519132,60922,0.4728772818813747,0.5351783278113428,29.81184258214707,150.05195761383638
60659,38,2.7682669192103155,28.192613098273476,68704,0.3543381656589204,0.3000655642165076,29.18012855167801,0.0
60639,108,4.072705332227166,27.754732634436987,61089,0.35934082509993215,0.26868542122332,27.82376548431876,0.0
60632,108,3.957203576139528,25.611900923347502,64809,0.33431042063608385,0.2576945625091602,26.676468087512085,236.5128325189882
60629,77,2.2811435342912163,14.782995111835284,60826,0.3195970967264109,0.26970819137905494,26.29074807520385,127.09002546359976
60645,18,1.0572066251615175,7.459180077528486,76045,0.3161047809232938,0.3576882415129801,23.664368553872993,163.06016314239034
60651,29,1.3558371125344804,17.485623451306747,54409,0.33587357987750716,0.32801907522558327,22.63627340187196,0.0
60623,61,2.2139953542392568,20.651858304297328,51878,0.3128266550522648,0.32621951219512196,21.392716925958297,140.61156613421423
60643,49,2.7498737302878946,15.152365452606768,80852,0.24047365172007407,0.3624782535495819,17.365231610298327,0.0
60652,35,2.66727632982777,13.56500533455266,80020,0.26657521719250116,0.25857338820301784,15.949104535619707,0.0
60637,37,1.621597931366963,9.335144848139544,43609,0.3743699872901784,0.5491957750799842,14.89849147379863,35.221820443365786
60617,60,2.025658338960162,12.525320729237002,51778,0.27667116812964215,0.4061444969615125,13.950640036770778,0.0
60619,61,2.155705551825282,15.372654344983568,45206,0.2788281443262537,0.5188535887196523,11.312098211005933,162.34089031205335
60628,36,1.5623643780921794,13.063102161270722,54644,0.2515406648728409,0.3846454300841941,11.127024604591316,186.3227360840415
60644,26,1.4051775387774956,12.376371399232557,40950,0.3463762633086527,0.4516024428471059,10.96232222992992,553.9217344654302
60620,61,2.3800234100663284,14.124073351541163,48146,0.2818181818181818,0.4049941474834179,9.752915905903741,0.0
60633,4,0.8169934640522876,6.740196078431373,62458,0.31842320261437906,0.4599673202614379,9.665821230040532,0.0
60624,18,1.3343217197924389,17.568569310600445,34030,0.3397331356560415,0.41645663454410675,7.433113080284704,238.74474919693603
60653,33,1.9966118102613746,10.10406582768635,40666,0.3516456921587609,0.5600798644724104,6.113260858643681,169.26904573322773
60636,25,2.2112152839200423,21.050769502918804,38807,0.322925880063683,0.396072881655758,5.750235416501006,47.09991936243485
60649,41,1.6965985268559132,9.186460316146652,44175,0.2721178515269387,0.6046097823388231,5.072365081970749,0.0
60621,8,0.7008936393902225,14.105484492728229,31905,0.2893814613632381,0.5090240056071491,0.0,468.3107325476346
